Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo,EAN
PIMENTÃO MARGÃO DOCE COLORAU 40G,MARGÃO,0.04 KG,1.59€,39.75 €/Kg,None,5601063052293
Leite Corporal Body Milk Nutritivo NIVEA 250 ml,NIVEA,0.25 LT,5.49€,21.96 €/Lt,None,4005808246090
COXA DE PERÚ AVIPRONTO,MF,None,5.99€,5.99 €/Kg,None,2830510000003
FILETES PESCANOVA PESCADA DO CABO 400G,PESCANOVA,0.4 KG,5.39€,9.35 €/Kg,3.74€,8410063034515
LICOR SAFARI 0.70L,SAFARI,0.7 LT,16.99€,24.27 €/Lt,None,8711300776244
Creme de Rosto Antirrugas de Dia FP15 Q10 Power NIVEA 50 ml,NIVEA,0.05 LT,12.99€,181.8 €/Lt,9.09€,4005900676023
CARAPAU GRANDE KG,None,1 KG,5.99€,5.99 €/Kg,None,2850045000002
PUDIM MANDARIM FLAN 24 DOSES,MANDARIM,None,1.39€,1.39 €/un,None,5601232010307
BOLACHA CUÉTARA WAFFER FRESH CÔCO 150G,CUÉTARA,0.15 KG,1.99€,13.27 €/Kg,None,8434165442863
VINHO BRANCO PORCA DE MURÇA DOURO 0.75L,PORCA DE MURÇA,0.75 LT,4.79€,4.79 €/Lt,3.59€,5601109211110
PARGO MULATO KG,None,1 KG,5.99€,5.99 €/Kg,None,2850013000003
OREGÃOS MARGÃO FOLHAS 8G,MARGÃO,0.008 KG,1.09€,136.25 €/Kg,None,5601063000737
WHISKY JACK DANIEL'S BOURBON 0.70L,JACK DANIEL'S,0.7 LT,23.99€,28.56 €/Lt,19.99€,5099873090473
PRATO DOCE ALGARV VISTA ALEGRE N.4 PORCELANA DECOR,VISTA ALEGRE,None,4.99€,4.99 €/un,None,5602873271614
POLVO MÉDIO KG,None,1 KG,9.99€,9.99 €/Kg,None,2850284000009
ADITIVO GASOLINA SEM CHUMBO REDEX,REDEX,0.25 LT,4.59€,18.36 €/Lt,None,5601214406012
ALHO MARGÃO EM PÓ 50G,MARGÃO,0.05 KG,1.59€,31.8 €/Kg,None,5601063000713
BATATAS SR.BASÍLIO FRITAS ONDULADAS EXTRA LARGAS 135G,SR BASILIO,0.135 KG,1.59€,11.78 €/Kg,None,5602139109217
VINAGRE CRISTAL VINHO BRANCO 500ML,CRISTAL,0.5 LT,1.59€,3.18 €/Lt,None,5601070000508
ARROZ ORIENTE EXTRA LONGO 1KG,ORIENTE,1KG,1.69€,1.69 €/Kg,None,5601228228013
CRAVINHO MARGÃO MOÍDO 40G,MARGÃO,0.04 KG,2.59€,64.75 €/Kg,None,5601063010804
MOLHO FERBAR PIRI-PIRI HOT 195ML,FERBAR,0.195 LT,1.19€,6.1 €/Lt,None,5601319001112
FRANGO AVIPRONTO COTO PERNINHA KG,AVIPRONTO,1 KG,6.99€,6.99 €/Kg,None,2830000000001
DESODORIZANTE ROLL-ON DRY IMPACT NIVEA MEN 50 ML,NIVEA,0.05 LT,2.99€,59.8 €/Lt,None,4005900936899
RENOVADOR PLÁSTICOS REDEX XRT80 PRETO COM APLICADOR,REDEX HOLTS,0.1 LT,4.15€,41.5 €/Lt,None,5601214455676
VINHO BRANCO FAISÃO 1L,FAISÃO,1L,2.19€,2.19 €/Lt,None,5601239329747
BIFE/ESCALOPE DE PERÚ NUTRIAVES KG,NUTRIAVES,1 KG,8.19€,8.19 €/Kg,None,2830507000009
PRATO DE SOBREMESA ALGARVE VISTA ALEGRE PORCELANA DECORADO,VISTA ALEGRE,None,5.69€,5.69 €/un,None,5602873271478
TAMBORIL KG,None,1 KG,11.99€,11.99 €/Kg,None,2850002000007
