Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
Pá do Lixo c/ Espanador,,Emb. 1 UNID.,"1,99€","1,99€ / UNID.",
Palitos de Chocolate,P'TIT DÉLI,Emb. 0.15 KG,"1,09€","7,27€ / KG",
Bolacha Maria sem Açúcar 12 Unid.,,Emb. 0.3 KG,"3,29€","10,97€ / KG",
Guardanapos Folha Simples Reciclados,MARQUE REPERE,Emb. 100 UNID.,"0,89€","0,01€ / UNID.",
Alimento Seco P/ Gatos Esterilizados Peru e Legumes,PURINA FRISKIES,Emb. 1.5 KG,"6,99€","4,66€ / KG",
Deo Spray 0% Sensitive 24H,SANEX,Emb. 0.15 LT,"2,69€","17,93€ / LT",
Desodorizante Invisimax Spray Homem,NARTA,Emb. 0.2 LT,"3,95€","19,75€ / LT",
Donuts Chocolate 4x47 gr,DONUTS,Emb. 0.188 KG,"2,95€","15,69€ / KG",
Detergente para a Máquina da Loiça Extra Power,SUN,Emb. 76 PASTILHAS,"9,99€","0,13€ / PASTILHAS",
Alimento Seco P/ Cão Free Vaca,BEYOND,Emb. 7 KG,"29,99€","4,28€ / KG",
PRATO RIPPLE BIODEGRADAVEL 17CM,HOMESIDE,Emb. 10 UNID.,"1,29€","0,13€ / UNID.",
Bebida Solúvel Cereais Cevada Chicória e Café,TOFINA,Frasco 0.2 KG,"2,24€","11,20€ / KG",
Creme Revitalift Dia,DERMO EXPERTISE,Emb. 0.03 LT,"16,89€","563,00€ / LT",
Espuma de Barbear Pele Sensível,GILLETTE,Emb. 0.2 LT,"2,55€","12,75€ / LT",
Hamburguer Ultracongelado 100% de Vaca Ultracongelado,CHANTEGRIL,Emb. 1 KG,"9,98€","9,98€ / KG",
Cereais Pétalas Chocolate Leite,GRAINEA,Emb. 0.3 KG,"1,49€","4,97€ / KG",
Lentilhas Verdes Secas,NOTRE JARDIN,Emb. 0.5 KG,"1,49€","2,98€ / KG",
Bebida de Soja 0%,SHOYCE,Emb. 1 LT,"1,59€","1,59€ / LT",
Alimento Húmido P/ Gato C/ Carne de Vaca e Legumes,FRISKIES,Emb. 0.4 KG,"1,69€","4,23€ / KG",
Gressinos com Creme de Avelã 3x60g,NUSTIKAO,Emb. 0.18 KG,"2,19€","12,17€ / KG",
Cera Fixadora,AXE,Emb. 0.075 LT,"3,99€","53,20€ / LT",
Barra Cereais Chocolate Preto,GRAINEA,Emb. 0.126 KG,"1,49€","11,83€ / KG",
Bolachas Maria sem Açúcar,GULLÓN,Emb. 0.4 KG,"2,34€","5,85€ / KG",
Bifidus Actifidus Muesli 4x124g,DÉLISSE,Emb. 0.5 KG,"1,09€","2,18€ / KG",
Cracker Integral,CUÉTARA,Emb. 0.2 KG,"1,25€","6,25€ / KG",
Preparado em Pó Chantilly,ROYAL,Emb. 0.072 KG,"1,77€","24,58€ / KG",
Bolo de Cacau,P'TIT DÉLI,Emb. 0.42 KG,"3,19€","7,60€ / KG",
Manteiga com Sal,NOVA AÇORES,Emb. 0.25 KG,"1,99€","7,96€ / KG",
Molho de Tomate à Provençal,,Emb. 0.35 KG,"1,99€","5,69€ / KG",
Amendoins no Forno,MATUTANO,Emb. 0.2 KG,"2,15€","10,75€ / KG",
Azeitona Verde Retalhada com Ervas,RUSTICA,Emb. 0.36 KG,"1,79€","4,97€ / KG",
Polpa de Tomate,ECO+,Frasco 0.5 KG,"0,99€","1,98€ / KG",
Refrigerante S/ Gás Maracuja,ECO+,Garrafa 2 LT,"0,79€","0,40€ / LT",
Snack P/ Cão Sticks C/ Aroma a Veado,PURINA,Emb. 0.09 KG,"1,49€","16,56€ / KG",
Conserva de Atum em Posta em Azeite,PÊCHE OCÉAN,Emb. 0.12 KG,"1,09€","9,08€ / KG",
Iogurte Natural 4x125 g,,Emb. 0.5 KG,"0,65€","1,30€ / KG",
LAMINAS DESCARTAVEIS SENHORA 3 LAMINAS 4UN,SLISS,Emb. 4 UNID.,"2,99€","0,75€ / UNID.",
Ambientador Pure Nenuco Frescura Colónia de Bebé,AIR WICK,Spray 0.25 LT,"4,19€","16,76€ / LT",
"GEL DUCHE ""MATCHA/GENGIBRE"" CONCENTRADO",NATEIS,,"1,85€",/ Unid.,
Queijo Prato Amanteigado Pequeno,PAIVA,Emb. 0.55 KG,"6,59€","11,98€ / KG",
Vinho Verde Branco,AVELEDA,Garrafa 0.75 LT,"4,99€","6,65€ / LT",
BOLACHA MARIA DOURADA,P'TIT DÉLI,,"1,69€",/ Unid.,
Gomas Trio Brilho,COPAÍNS COPINES,Emb. 0.2 KG,"0,99€","4,95€ / KG",
SNACK BATATA SABOR ESPECIARIAS,TOKAPI,Emb. 0.17 KG,"1,95€","11,47€ / KG",
Queijo de Barrar com Leite Pasteurizado,LES CROISÉS,Emb. 0.15 KG,"0,89€","5,93€ / KG",
Creme de Banho Care & Roses,NIVEA,Emb. 0.75 LT,"6,43€","8,57€ / LT",
Refrigerante sem Gás Laranja,FRUTIS,Garrafa 1.5 LT,"1,15€","0,77€ / LT",
Bebida Gaseificada Aromatizada de Pêssego S/ Álcool,FESTALIE,Garrafa 0.75 LT,"2,49€","3,32€ / LT",
ALIMENTO PARA PERIQUITOS,ECO+,Emb. 1 KG,"1,29€","1,29€ / KG",
Alimento Seco P/ Gato C/ Frango Peru,PURINA FRISKIES,Emb. 2 KG,"7,99€","4,00€ / KG",
Champô Volume Toranja Branca e Menta,HERBAL ESSENCES,Emb. 0.4 LT,"3,99€","9,98€ / LT",
CREPES SIMPLES 16UN,TROFIC,Emb. 1 KG,"3,99€","3,99€ / KG",
Sal Marinho Iodado,VATEL,Emb. 1 KG,"0,98€","0,98€ / KG",
BATATA FRITA PALHA FINISSIMA,POM'LISSE,,"1,39€",/ Unid.,
PORTFOLIO A4 60 BOLSAS ECO+,ECO+,Emb. 1 UNID.,"0,99€","0,99€ / UNID.",
OIKOS CARAMELO 110G X4,OIKOS,Emb. 0.44 KG,"2,39€","5,43€ / KG",
Esparguete Cozedura Rápida,TURINI,Emb. 0.5 KG,"1,09€","2,18€ / KG",
PREPARADO P/ ARROZ MARISCO,PÊCHE OCÉAN,Emb. 0.8 KG,"6,50€","8,13€ / KG",
CALAMARES A ROMANA,PÊCHE OCÉAN,Emb. 0.5 KG,"3,98€","7,96€ / KG",
Batatas Fritas Ketchup,RUFFLES,Emb. 0.15 KG,"1,78€","11,87€ / KG",
PALITOS COBERTURA CHOCOLATE LEITE S/ GLUTEN,CHAQUE JOUR SANS GLUTEN,Emb. 0.125 KG,"2,55€","20,40€ / KG",
Sabão de Marselha 4x200 g,EPSIL,,"2,89€",/ Unid.,
Macedonia de 4 Legumes,,Emb. 0.4 KG,"0,69€","1,73€ / KG",
Durex Play Lubrificante de Morango,DUREX,Emb. 0.05 LT,"7,49€","149,80€ / LT",
Vinho Tinto,ECO+,Garrafão 5 LT,"5,69€","1,14€ / LT",
Gelatina de Manga,KOALA,Emb. 0.13 KG,"0,99€","7,62€ / KG",
FRALDA INCONTINENCIA MEDIA,CHORYS,Emb. 20 UNID.,"8,99€","0,45€ / UNID.",
Pao De Forma Cerealia 5 Sementes,PANRICO,Emb. 0.435 KG,"2,25€","5,17€ / KG",
Água Tónica,SCHWEPPES,Lata 0.25 LT,"0,84€","3,36€ / LT",
Queijo Emmental,LES CROISÉS,Emb. 0.25 KG,"1,89€","7,56€ / KG",
FITA COLA INVISIVEL 25M,ESQUISSE,Emb. 1 UNID.,"0,69€","0,69€ / UNID.",
BETERRABA EM VINAGRE 345G,FERBAR,Emb. 0.345 KG,"1,09€","3,16€ / KG",
Sumo Refrigerado Florida,SUNNY DELIGHT,Garrafa 0.31 LT,"0,78€","2,52€ / LT",
Bloco Sanitário Floral,SONASOL WC,Emb. 0.05 KG,"1,94€","38,80€ / KG",
Sardinha em Óleo Vegetal,BOM PETISCO,Emb. 0.12 KG,"0,99€","8,25€ / KG",
QUEIJO FRESCO COTTAGE,MATINAL,Emb. 0.18 KG,"1,89€","10,50€ / KG",
ALGODAO DUO QUADRADO X50,INELL,Emb. 50 UNID.,"0,79€","0,02€ / UNID.",
Doseador Sabão Líquido Branco,SILLAGE,Emb. 1 UNID.,"3,00€","3,00€ / UNID.",
Pensos Higiénicos Normal Alas,AUSONIA,Emb. 14 UNID.,"1,69€","0,12€ / UNID.",
Conserva de Cogumelos Laminados,NOTRE JARDIN,Lata 0.78 KG,"2,25€","2,88€ / KG",
Caramelo Líquido,TABLIER BLANC,Emb. 0.4 KG,"1,29€","3,23€ / KG",
Gelatina Light Tropical 4 Unid.,ROYAL,Emb. 0.4 KG,"2,19€","5,48€ / KG",
Cenourinhas Extra Finas,NOTRE JARDIN,Emb. 0.4 KG,"1,00€","2,50€ / KG",
Compota de Frutas Maçã e Pera sem Adição de Açúcares 4x100g,DOUCEUR DU VERGER,Emb. 0.4 KG,"1,59€","3,98€ / KG",
Patê Bocadelia Recheio Atum,LA PIARA,Emb. 0.18 KG,"2,24€","12,44€ / KG",
Desodorizante Roll-On Invisible,MANAVA,Emb. 0.05 LT,"0,75€","15,00€ / LT",
Cereais Muesli Chocolate,GRAINEA,Emb. 0.5 KG,"2,39€","4,78€ / KG",
Óleo Reconstrutor,AUSSIE,Emb. 0.1 LT,"7,49€","74,90€ / LT",
Nata UHT Carbonara,PARMALAT,Emb. 0.2 LT,"1,20€","6,00€ / LT",
PORTFOLIO A4 60 BOLSAS,ESQUISSE,Emb. 60 UNID.,"2,99€","0,05€ / UNID.",
Vinho de Mesa Rosé,ECO+,Emb. 2 LT,"2,69€","1,35€ / LT",
SNACKS BOLAS DE QUEIJO,TOKAPI,Emb. 0.05 KG,"0,65€","13,00€ / KG",
PENSOS INCONTINENCIA MULHER MAXI,CHORYS,Emb. 12 UNID.,"2,59€","0,22€ / UNID.",
Café Solúvel Clássico Intenso,NESCAFÉ,Emb. 0.1 KG,"3,95€","39,50€ / KG",
Sais de Fruta Digestivo Original,ENO DIGESTIVO,Emb. 10 UNID.,"4,99€","0,50€ / UNID.",
KINDER DELICE CACAU T10,KINDER,Emb. 0.39 KG,"3,69€","9,46€ / KG",
CREPES QUEIJO 6UN,CÔTÉ TABLE,Emb. 6 UNID.,"1,49€","0,25€ / UNID.",
"AGUA FRIZE,,75CL",FASTIO,,"0,95€",/ Unid.,
DETERGENTE LIQUIDO PERFECT CORES 25D,EPSIL,Emb. 25 DOSES,"2,79€","0,11€ / DOSES",
Manteiga de Amendoim Cremosa sem Adição de Açúcares,CALVÉ,Emb. 0.35 KG,"3,49€","9,97€ / KG",
Gelatina em Pó Morango 2x85 g,TABLIER BLANC,Emb. 0.17 KG,"0,85€","5,00€ / KG",
Champô Anti-Caspa Cuidado Suave para Todos os Tipos de Cabelo,LINIC,Emb. 0.36 LT,"4,94€","13,72€ / LT",
PAPEL ALUMINIO 50M,ELEMBAL,Emb. 50 M,"4,49€","0,09€ / M",
Conserva de Salsichas 7 Unid. Extra Suculentas,NOBRE,Frasco 0.35 KG,"1,68€","4,80€ / KG",
Sopa de Espargos,KNORR,Emb. 0.07 KG,"1,49€","21,29€ / KG",
GEL FIXACAO BETAO 250ML,VITANOVE,Emb. 0.25 LT,"1,69€","6,76€ / LT",
PENSOS HIGIENICOS U. FINOS NORMAL+ C/ ABAS,DOULYS,Emb. 14 UNID.,"0,99€","0,07€ / UNID.",
Spray Mousse Harmonias Florais,NEOBLANC,Spray 0.7 LT,"2,59€","3,70€ / LT",
Pente Piquio Color,,Emb. 1 UNID.,"1,99€","1,99€ / UNID.",
Iogurte Bifidus Activia Cremoso Frutos Silvestres 4 Unid.,DANONE,Emb. 0.48 KG,"1,99€","4,15€ / KG",
QUEIJO MOZZARELLA FATIAS,QUEIJO NA TÁBUA,Emb. 0.15 KG,"1,69€","11,27€ / KG",
PAO CHOCOLATE 6UN,EPI D'OR,Emb. 6 UNID.,"3,29€","0,55€ / UNID.",
Snack P/ Gato de Salmão,DENTALIFE,Emb. 0.04 KG,"1,99€","49,75€ / KG",
PASTEIS DE NATA 6UN,CÔTÉ TABLE,Emb. 6 UNID.,"2,99€","0,50€ / UNID.",
"Mini Picadora 1,5L 500W",ELSAY,Emb. 1 UNID.,"27,90€","27,90€ / UNID.",
Pensos Higiénicos Aloe Vera,CAREFREE,Emb. 56 UNID.,"4,49€","0,08€ / UNID.",
Cerveja C/ Álcool 24x25cl,CARLSBERG,Emb. 6 LT,"12,94€","2,16€ / LT",
Recarga Sabonete Líquido Framboesa/Peonia,MANAVA,Emb. 0.25 LT,"0,65€","2,60€ / LT",
VAGEM DE BAUNILHA BOURBON BIO,,Emb. 1 UNID.,"3,99€","3,99€ / UNID.",
Champô,TRESEMMÉ,Emb. 0.7 LT,"6,59€","9,41€ / LT",
Bacalhau Crescido Islândia,,1 Unid. = 1.3 KG (aprox.),"13,99€/kg","18,19€ / Unid.",
Cerveja com Álcool Mini 20x25cl,CRISTAL,Emb. 5 LT,"7,59€","1,52€ / LT",
Chouriça do Lavrador,SNR,Emb. 0.18 KG,"2,49€","13,83€ / KG",
Néctar Multifrutos Bio,,Emb. 1.5 LT,"2,49€","1,66€ / LT",
AFTERSHAVE LOCAO OCEAN FRESH 100ML,CARRÉ HOMME,Emb. 0.1 LT,"2,29€","22,90€ / LT",
PERSIL UNIVERSAL GEL,PERSIL,Emb. 65 DOSES,"12,49€","0,19€ / DOSES",
SPRAY PENTEAR DESEMBARACANTE MORANGO E CEREJA PARA CRIANCAS,PETIT MANAVA,Emb. 0.2 LT,"1,49€","7,45€ / LT",
Madalenas sem Glúten,CHAQUE JOUR SANS GLUTEN,Emb. 0.18 KG,"2,59€","14,39€ / KG",
Atum em Azeite Biológico,BOM PETISCO,Emb. 0.12 KG,"1,67€","13,92€ / KG",
CREME P/ BARRAR PEDACOS FINOS AVELAS,EQUADOR,,"2,39€",/ Unid.,
Massa Lasanha,TURINI,Emb. 0.5 KG,"1,34€","2,68€ / KG",
Vinagre Balsâmico de Modena,GALLO,Garrafa 0.25 LT,"1,69€","6,76€ / LT",
MARCADORES COLORIR LAVAVEL BEBE 12MESES,ESQUISSE,Emb. 12 UNID.,"2,99€","0,25€ / UNID.",
Peixe Espada Preto,,1 Unid. = 1.7 KG (aprox.),"6,69€/kg","11,37€ / Unid.",
Esfregão Vegetal,,Emb. 2 UNID.,"0,99€","0,50€ / UNID.",
Chiclets de Peppermint 12 Unid.,CHICLETS,Emb. 0.017 KG,"0,89€","52,35€ / KG",
