Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
SNACK BATATA SABOR ESPECIARIAS,TOKAPI,Emb. 0.17 KG,"1,95€","11,47€ / KG",
Queijo de Barrar com Leite Pasteurizado,LES CROISÉS,Emb. 0.15 KG,"0,89€","5,93€ / KG",
AURICULARES MAOS LIVRES BRANCO,LINKSTER,Emb. 1 UNID.,"7,90€","7,90€ / UNID.",
Refrigerante sem Gás Laranja,FRUTIS,Garrafa 1.5 LT,"1,15€","0,77€ / LT",
Bebida Gaseificada Aromatizada de Pêssego S/ Álcool,FESTALIE,Garrafa 0.75 LT,"2,49€","3,32€ / LT",
Champô Volume Toranja Branca e Menta,HERBAL ESSENCES,Emb. 0.4 LT,"3,99€","9,98€ / LT",
CREPES SIMPLES 16UN,TROFIC,Emb. 1 KG,"3,99€","3,99€ / KG",
Sal Marinho Iodado,VATEL,Emb. 1 KG,"0,98€","0,98€ / KG",
OIKOS CARAMELO 110G X4,OIKOS,Emb. 0.44 KG,"2,39€","5,43€ / KG",
MIOLO DE CAMARAO 80/120,PÊCHE OCÉAN,Emb. 0.25 KG,"3,49€","13,96€ / KG",
Esparguete Cozedura Rápida,TURINI,Emb. 0.5 KG,"1,09€","2,18€ / KG",
PREPARADO P/ ARROZ MARISCO,PÊCHE OCÉAN,Emb. 0.8 KG,"6,50€","8,13€ / KG",
COPPA FATIAS FINISSIMAS,ST AZAY,Emb. 0.1 KG,"2,99€","29,90€ / KG",
PALITOS COBERTURA CHOCOLATE LEITE S/ GLUTEN,CHAQUE JOUR SANS GLUTEN,Emb. 0.125 KG,"2,55€","20,40€ / KG",
Bolachas Maria,CUÉTARA,Emb. 0.8 KG,"2,58€","3,23€ / KG",
Sabão de Marselha 4x200 g,EPSIL,,"2,89€",/ Unid.,
Macedonia de 4 Legumes,,Emb. 0.4 KG,"0,69€","1,73€ / KG",
Durex Play Lubrificante de Morango,DUREX,Emb. 0.05 LT,"7,49€","149,80€ / LT",
Vinho Tinto,ECO+,Garrafão 5 LT,"5,69€","1,14€ / LT",
FRALDA INCONTINENCIA MEDIA,CHORYS,Emb. 20 UNID.,"8,99€","0,45€ / UNID.",
Papel Higiénico 3 Folhas Acolchoado,SCOTTEX,Emb. 9 ROLOS,"5,98€","0,66€ / ROLOS",
LOMBO PORCO CURADO FATIAS,ST AZAY,Emb. 0.1 KG,"2,55€","25,50€ / KG",
Refrigerante com Gás Guarana,ANTARCTICA,Garrafa 1.5 LT,"1,98€","1,32€ / LT",
Água Tónica,SCHWEPPES,Lata 0.25 LT,"0,84€","3,36€ / LT",
BETERRABA EM VINAGRE 345G,FERBAR,Emb. 0.345 KG,"1,09€","3,16€ / KG",
Sumo Refrigerado Florida,SUNNY DELIGHT,Garrafa 0.31 LT,"0,78€","2,52€ / LT",
Bloco Sanitário Floral,SONASOL WC,Emb. 0.05 KG,"1,94€","38,80€ / KG",
Mini Pizza Piccolinis Salsicha Frankfurt 9 Unid.,BUITONI,Emb. 0.27 KG,"3,98€","14,74€ / KG",
Sardinha em Óleo Vegetal,BOM PETISCO,Emb. 0.12 KG,"0,99€","8,25€ / KG",
DETERGENTE LIQUIDO CONCENTRADO ALOE VERA ECOLOGICO 40D,UNÍ VERT,,"4,99€",/ Unid.,
Pêra Conference Cal. 60+,,1 Unid. = 0.21 KG (aprox.),"1,99€/kg","0,42€ / Unid.",
"AGUA FRIZE,,6x25CL",FRIZE,,"2,78€",/ Unid.,
Barrinhas de Pescada Panada Temperada com Limão s/ Glúten,PESCANOVA,Emb. 0.3 KG,"4,98€","16,60€ / KG",
ALGODAO DUO QUADRADO X50,INELL,Emb. 50 UNID.,"0,79€","0,02€ / UNID.",
Conserva de Cogumelos Laminados,NOTRE JARDIN,Lata 0.78 KG,"2,25€","2,88€ / KG",
Leite Bem Essencial C/ Polpa de Morango 4 Unid.,MIMOSA,Emb. 0.8 LT,"1,98€","2,48€ / LT",
Caramelo Líquido,TABLIER BLANC,Emb. 0.4 KG,"1,29€","3,23€ / KG",
Compota de Frutas Maçã e Pera sem Adição de Açúcares 4x100g,DOUCEUR DU VERGER,Emb. 0.4 KG,"1,59€","3,98€ / KG",
Patê Bocadelia Recheio Atum,LA PIARA,Emb. 0.18 KG,"2,24€","12,44€ / KG",
CROQUETES P/ GATOS SENSIVEIS E DIFICEIS PREMIUM,PLENIMA,,"1,89€",/ Unid.,
Desodorizante Roll-On Invisible,MANAVA,Emb. 0.05 LT,"0,75€","15,00€ / LT",
Cereais Muesli Chocolate,GRAINEA,Emb. 0.5 KG,"2,39€","4,78€ / KG",
Óleo Reconstrutor,AUSSIE,Emb. 0.1 LT,"7,49€","74,90€ / LT",
Alimento Húmido P/ Gato Carne Vaca Gold,GOURMET,Emb. 0.085 KG,"0,74€","8,71€ / KG",
Néctar Clássico 100% Laranja,COMPAL,Emb. 1 LT,"1,68€","1,68€ / LT",
Batata Doce,,1 Unid. = 0.29 KG (aprox.),"1,97€/kg","0,57€ / Unid.",
Champô Cabelo Ultra Suave Louros Camomila,GARNIER,Emb. 0.25 LT,"3,58€","14,32€ / LT",
Vinho de Mesa Rosé,ECO+,Emb. 2 LT,"2,69€","1,35€ / LT",
SNACKS BOLAS DE QUEIJO,TOKAPI,Emb. 0.05 KG,"0,65€","13,00€ / KG",
PENSOS INCONTINENCIA MULHER MAXI,CHORYS,Emb. 12 UNID.,"2,59€","0,22€ / UNID.",
Ervilhas Ultracongelados,IGLO,Emb. 0.375 KG,"2,28€","6,08€ / KG",
Luvas Finas Descartáveis Vinil Tam. M,,Emb. 0.45 KG,"6,89€","15,31€ / KG",
KINDER DELICE CACAU T10,KINDER,Emb. 0.39 KG,"3,69€","9,46€ / KG",
DETERGENTE LIQUIDO PERFECT CORES 25D,EPSIL,Emb. 25 DOSES,"2,79€","0,11€ / DOSES",
Gelatina em Pó Morango 2x85 g,TABLIER BLANC,Emb. 0.17 KG,"0,85€","5,00€ / KG",
Snack P/ Gato Original Maxi Pack,FELIX,Emb. 0.2 KG,"3,98€","19,90€ / KG",
