Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
Caramelo Líquido,TABLIER BLANC,Emb. 0.4 KG,"1,29€","3,23€ / KG",
Compota de Frutas Maçã e Pera sem Adição de Açúcares 4x100g,DOUCEUR DU VERGER,Emb. 0.4 KG,"1,59€","3,98€ / KG",
CROQUETES P/ GATOS SENSIVEIS E DIFICEIS PREMIUM,PLENIMA,,"1,89€",/ Unid.,
Refrigerante C/ Gás,COCA COLA,Garrafa 0.5 LT,"1,00€","2,00€ / LT",
Cuecas Incontinência Discreet L,AUSONIA,Emb. 7 UNID.,"7,99€","1,14€ / UNID.",
Óleo Reconstrutor,AUSSIE,Emb. 0.1 LT,"7,49€","74,90€ / LT",
Vinho de Mesa Rosé,ECO+,Emb. 2 LT,"2,69€","1,35€ / LT",
SNACKS BOLAS DE QUEIJO,TOKAPI,Emb. 0.05 KG,"0,65€","13,00€ / KG",
PENSOS INCONTINENCIA MULHER MAXI,CHORYS,Emb. 12 UNID.,"2,59€","0,22€ / UNID.",
Sais de Fruta Digestivo Original,ENO DIGESTIVO,Emb. 10 UNID.,"4,99€","0,50€ / UNID.",
Luvas Finas Descartáveis Vinil Tam. M,,Emb. 0.45 KG,"6,89€","15,31€ / KG",
Loção para Corpo Suavizante 48h Pele Seca,NIVEA BODY,Emb. 0.4 LT,"5,99€","14,98€ / LT",
KINDER DELICE CACAU T10,KINDER,Emb. 0.39 KG,"3,69€","9,46€ / KG",
Chocolate de Caramelo e Avelãs,MILKA,Emb. 0.3 KG,"3,99€","13,30€ / KG",
DETERGENTE LIQUIDO PERFECT CORES 25D,EPSIL,Emb. 25 DOSES,"2,79€","0,11€ / DOSES",
Manteiga de Amendoim Cremosa sem Adição de Açúcares,CALVÉ,Emb. 0.35 KG,"3,49€","9,97€ / KG",
Gelatina em Pó Morango 2x85 g,TABLIER BLANC,Emb. 0.17 KG,"0,85€","5,00€ / KG",
Gelado Stracciatella,ESKISS,Emb. 0.9 LT,"2,65€","2,94€ / LT",
Café Pastilhas Platinium,DELTA,Emb. 16 UNID.,"3,89€","0,24€ / UNID.",
Tempero Chili com Carne 4 porções,KNORR,Emb. 0.042 KG,"1,54€","36,67€ / KG",
Champô Anti-Caspa Cuidado Suave para Todos os Tipos de Cabelo,LINIC,Emb. 0.36 LT,"4,94€","13,72€ / LT",
PAPEL ALUMINIO 50M,ELEMBAL,Emb. 50 M,"4,49€","0,09€ / M",
Tónica Suave Pele Seca,NIVEA,Emb. 0.2 LT,"5,99€","29,95€ / LT",
Conserva de Salsichas 7 Unid. Extra Suculentas,NOBRE,Frasco 0.35 KG,"1,68€","4,80€ / KG",
Sopa de Espargos,KNORR,Emb. 0.07 KG,"1,49€","21,29€ / KG",
GEL FIXACAO BETAO 250ML,VITANOVE,Emb. 0.25 LT,"1,69€","6,76€ / LT",
Dentes de Alho,,Emb. 0.25 KG,"2,29€","9,16€ / KG",
Chocolate de Leite Choco Jelly,MILKA,Emb. 0.25 KG,"3,99€","15,96€ / KG",
Doce de Laranja Biológico,,Emb. 0.375 KG,"2,15€","5,73€ / KG",
