Nome,Preço,Preço/Kg
ELPOZO Bifinhos do Lombo Temperados 600 g,"7,19 €","11,98 €/Kg"
DIA SABOR CHARCUTEIRO Linguiça Picante 150 g,"1,19 €","7,93 €/Kg"
DIA SABOR CHARCUTEIRO Chouriço de Carne de Seia 250 g,"3,09 €","12,36 €/Kg"
DIA SABOR CHARCUTEIRO Farinheira de Seia 200 g,"1,65 €","8,25 €/Kg"
DIA SABOR CHARCUTEIRO Bacon Naco 200 g,"2,69 €","13,45 €/Kg"
DIA Massa Folhada 230 g,"0,99 €","4,30 €/Kg"
DIA Massa Quebrada 230 g,"0,99 €","4,30 €/Kg"
Batata Branca (1 un = 345 g aprox),"0,34 €","0,95 €/Kg"
DIA NA GRELHA Salsichas Churrasco Clássicas 200 g,"1,99 €","9,95 €/Kg"
DIA NA GRELHA Salsichas Churrasco Picantes 200 g,"1,99 €","9,95 €/Kg"
NOBRE Cuida-t+ Peito de Peru Fatias Finas 110 g,"2,69 €","24,45 €/Kg"
DAMATTA Chouriço de Carne Extra 200 g,"3,99 €","19,95 €/Kg"
DAMATTA Chouriço Alentejano 225 g,"3,29 €","14,62 €/Kg"
Maçã Reineta (1 un = 200 g aprox),"0,52 €","2,59 €/Kg"
HORTA DO DIA Espinafres Embalados 170 g,"1,09 €","6,41 €/Kg"
RIBERALVES Paloco Desfiado Pacífico 250 g,"2,29 €","9,16 €/Kg"
DIA Caju Torrado E Salgado 125 g,"2,59 €","20,72 €/Kg"
Couve Portuguesa (1 un = 930 g aprox),"2,04 €","2,19 €/Kg"
FRUTOS SECOS DO DIA Miolo de Noz Metades 200 g,"2,79 €","13,95 €/Kg"
CAMPOFRIO Mortadela de Peru Com Azeitonas Fatias 140 g,"1,99 €","14,21 €/Kg"
FRUTOS SECOS DO DIA Passas Sultanas 200 g,"0,89 €","4,45 €/Kg"
Hambúrguer de Bovino Embalado 400 g,"4,09 €","10,23 €/Kg"
DIA SABOR CHARCUTEIRO Alheira de Mirandela IGP 200 g,"1,29 €","6,45 €/Kg"
DIA SABOR CHARCUTEIRO Chourição Fatias 200 g,"1,65 €","8,25 €/Kg"
PRISCA Painho Em Fatias Escolha Económica 90 g,"1,65 €","18,33 €/Kg"
Tomate Coração de Boi (1 un = 245 g aprox),"0,73 €","2,99 €/Kg"
FRUTORRA Ameixa Sem Caroço 200 g,"2,29 €","11,45 €/Kg"
WUDY Salsicha Fresca de Peru e Frango Recheada com Queijo 150 g,"1,03 €","6,87 €/Kg"
WUDY Salsicha Fresca de Peru e Frango 250 g,"1,27 €","5,08 €/Kg"
NOBRE Suave Sabor Mortadela com Azeitonas Fatias 120 g,"1,30 €","10,83 €/Kg"
CORTE DO DIA Lombinhos de Porco (1 un = 700 g aprox),"5,24 €","7,49 €/Kg"
DIA SELEÇÃO MUNDIAL Salmão Fumado 100 g,"3,80 €","38,00 €/Kg"
IZIDORO Fiambre Fatias Essencial 100 g,"1,65 €","16,50 €/Kg"
IZIDORO Bacon Fatias Essencial 85 g,"1,65 €","19,41 €/Kg"
FUMEIRO SERRA DA ESTRELA Chouriço Cebola 180 g,"1,99 €","11,06 €/Kg"
FRUUT Abacaxi Embalado 20 g,"1,34 €","67,00 €/Kg"
FRUUT Coco Embalado 20 g,"0,99 €","49,50 €/Kg"
FUMEIRO SERRA DA ESTRELA Chouriço Cura 100% Natural Picante 200 g,"3,49 €","17,45 €/Kg"
FUMEIRO SERRA DA ESTRELA Chouriço Cura 100% Natural 200 g,"4,29 €","21,45 €/Kg"
Hamburguer de Frango Embalado 460 g,"3,49 €","7,59 €/Kg"
DIA SABOR CHARCUTEIRO Fiambre da Perna Superior 200 g,"2,69 €","13,45 €/Kg"
CAMPOFRIO Mortadela de Peru em Fatias 140 g,"1,99 €","14,21 €/Kg"
FRUTOS SECOS DO DIA Mix de Frutos Secos e Fruta Desidratada 200 g,"2,29 €","11,45 €/Kg"
CAMPOGRILL Salsichas Crioulo de Frango 360 g,"3,19 €","8,86 €/Kg"
CORTE DO DIA Preparado de Carne Picada Mista 500 g,"3,74 €","7,48 €/Kg"
CORTE DO DIA Preparado de Carne Picada Bovino 500 g,"4,99 €","9,98 €/Kg"
CORTE DO DIA Almôndegas Mistas 350 g,"3,19 €","9,11 €/Kg"
Papaia (1 un = 550 g aprox),"2,74 €","4,99 €/Kg"
Mini Pimentos Doces Tricolores Embalados 200 g,"1,59 €","7,95 €/Kg"
PORMINHO Bacon Extra Nacos 200 g,"3,39 €","16,95 €/Kg"
PORMINHO Bacon Extra Fatias 80 g,"1,45 €","18,13 €/Kg"
PORMINHO Chouriço Cubos 2x75 g,"2,14 €","14,27 €/Kg"
PORMINHO Bacon Cubos 2x75 g,"3,29 €","21,93 €/Kg"
PORMINHO Linguiça Rodelas 2x75 g,"2,29 €","15,27 €/Kg"
PRISCA Chrouriça Receita Beirã Escolha Económica 150 g,"2,19 €","14,60 €/Kg"
PRISCA Chrouriça Receita Alentejana Escolha Económica 150 g,"2,19 €","14,60 €/Kg"
PRISCA Chrouriça Receita Transmontana Escolha Económica 150 g,"2,19 €","14,60 €/Kg"
HORTA DO DIA Salada Camponesa 250 g,"1,29 €","5,16 €/Kg"
HORTA DO DIA Tomate Cherry 250 g,"1,29 €","5,16 €/Kg"
HORTA DO DIA Cogumelo Marron 300 g,"1,99 €","6,63 €/Kg"
HORTA DO DIA Tomate Cherry Pera 300 g,"1,69 €","5,63 €/Kg"
HORTA DO DIA Tomate Cherry Rama 300 g,"2,19 €","7,30 €/Kg"
HORTA DO DIA Cogumelo Pleurothus 200 g,"2,38 €","11,90 €/Kg"
IZIDORO Peito Peru Fatinas Finas 120 g,"2,59 €","21,58 €/Kg"
HORTA DO DIA Cogumelo Laminado 250 g,"1,99 €","7,96 €/Kg"
HORTA DO DIA Pimento Padrão 200 g,"1,59 €","7,95 €/Kg"
PESCANOVA Camarão Cozido (40/60) 500 g,"6,29 €","12,58 €/Kg"
PEIXE DO DIA Posta de Salmão (1 un = 415 g aprox),"8,09 €","19,49 €/Kg"
PEIXE DO DIA Lombo de Salmão (1 un = 560 g aprox),"12,43 €","22,19 €/Kg"
PEIXE DO DIA Filete de Salmão (1 un = 385 g aprox),"8,54 €","22,19 €/Kg"
HORTA DO DIA Nabiça 150 g,"1,19 €","7,93 €/Kg"
IZIDORO Salsichas Vácuo Hot Dog Aves 200 g,"3,29 €","16,45 €/Kg"
HORTA DO DIA Cogumelo Inteiro 300 g,"1,89 €","6,30 €/Kg"
HORTA DO DIA Framboesa 125 g,"1,99 €","15,92 €/Kg"
HORTA DO DIA Mirtilo 125 g,"1,89 €","15,12 €/Kg"
HORTA DO DIA Alho Francês Cortado 400 g,"1,99 €","4,98 €/Kg"
HORTA DO DIA Feijão Verde 500 g,"3,29 €","6,58 €/Kg"
DIA SABOR CHARCUTEIRO Mortadela 200 g,"1,09 €","5,45 €/Kg"
DIA SABOR CHARCUTEIRO Alheira de Caça 180 g,"1,49 €","8,28 €/Kg"
FUMEIRO DA GARDUNHA Presunto Fatiado do Fundão (7 meses) 80 g,"1,69 €","21,12 €/Kg"
FUMEIRO DA GARDUNHA Naco Presunto (9 meses) 300 g,"4,09 €","13,63 €/Kg"
FRUTOS SECOS DO DIA Miolo de Amêndoa com Pele 200 g,"2,65 €","13,25 €/Kg"
FUMEIRO DA GARDUNHA Chouriço Tradicional do Fundão 120 g,"1,39 €","11,58 €/Kg"
