Nome,Preço,Preço Antigo,PpU,PpU Antigo
DIA TEMPTATION Sticks de Chocolate Preto 75 g,"1,79 €",,"23,87 €/Kg",
REGINA Tablete de Chocolate e Cereais Floc Choc Stop 27 g,"0,74 €",,"27,41 €/Kg",
LINDT Chocolate de Leite Mini Cornet 75 g,"1,99 €","2,49 €","26,53 €/Kg","33,20 €/Kg"
CUÉTARA Bolacha Sortida 210 g,"3,09 €",,"14,71 €/Kg",
"DIA TEMPTATION Pétalas de Chocolate, Caramelo e Sal 125 g","2,49 €",,"19.920,00 €/Kg",
MILKA Bombons I Love Milka Praline  44 g,"2,29 €",,"52,05 €/Kg",
SALUTEM Multicereais Crocantes 500 g,"2,79 €","3,29 €","5,58 €/Kg","6,58 €/Kg"
"MILKA Chocolate De Leite Milkinis 87,5 g","1,69 €",,"19,31 €/Kg",
HALLS Canela 32 g,"0,89 €",,"27,81 €/Kg",
OREO Bolacha Original 440 g,"3,99 €",,"9,07 €/Kg",
"GULLÓN Tortitas Arroz, Chocolate Negro e Coco Vitalday 117 g","2,29 €",,"19,57 €/Kg",
GULLÓN Tortitas de Arroz com Chocolate Negro e Laranja 137 g,"2,69 €",,"19,64 €/Kg",
DIA Amendoins Cobertos de Chocolate 250 g,"2,00 €",,"8,00 €/Kg",
L'OR Cápsulas de Café Colombia Intensidade 8 10Un 10 Un,"4,49 €",,"0,45 €/ud",
L'OR Cápsulas de Café Ristretto Intensidade 11 10 Un,"4,29 €",,"0,43 €/ud",
GULLÓN Bolacha Digestive Aveia e Laranja 425 g,"2,94 €",,"6,92 €/Kg",
ST. DALFOUR Doce de Arando e Mirtilo 284 g,"4,39 €",,"15,46 €/Kg",
ST. DALFOUR Doce de 4 Frutos 284 g,"4,39 €",,"15,46 €/Kg",
HARIBO Gomas Mega Roullette 45 g,"0,94 €",,"20,89 €/Kg",
FIBRE ONE Bolacha Brownie Caramelo Salgado 5x24 g,"2,99 €",,"24,92 €/Kg",
VAHINÉ Rolinhos de Chocolate Branco e Preto 181 g,"1,59 €",,"8,78 €/Kg",
MOKAMBO Bebida Solúvel Cereais com Café Intenso 175 g,"4,49 €",,"25,66 €/Kg",
LIPTON Chá Immune Support 20 un,"2,99 €",,"0,15 €/ud",
LIPTON Chá Silhueta Cavalinha Pyramid 20 un,"2,99 €",,"0,15 €/ud",
RICORÉ Café Chicória 260 g,"7,79 €",,"29,96 €/Kg",
DEL MONTE Pêssego Metades 825 g,"3,59 €",,"4,35 €/Kg",
PANTAGRUEL Tablete 70% Cacau 200 g,"2,84 €",,"14,20 €/Kg",
LOACKER Bolacha Quadratini Napolitaner Waffer com Avelã 250 g,"3,29 €",,"13,16 €/Kg",
MINI DIVER Bolacha Recheada com Chocolate 178 g,"1,99 €",,"11,18 €/Kg",
GULLÓN Bolacha Digestive Thins Aveia Chocolate E Mirtilo 270 g,"2,94 €",,"10,89 €/Kg",
