Nome,Preço,Preço Antigo,PpU,PpU Antigo
DOVE Desodorizante Roll-On Invisible Dry  50 ml,"2,81 €",,"56,20 €/l",
DIA BONTÉ Gel Íntimo Sensitive 250 ml,"2,10 €",,"8,40 €/l",
GARNIER Água Micelar Tudo em 1 400 ml,"4,54 €","6,99 €","11,35 €/l","17,48 €/l"
DIA BONTÉ Gel Aloe 100% 400 ml,"3,42 €",,"8,55 €/l",
DIA BONTÉ Loção Corporal Viagem 100 ml,"1,19 €",,"11,90 €/l",
DIA BONTÉ Body Milk Reafirmante Anti Idade 500 ml,"2,79 €",,"5,58 €/l",
DIA BONTÉ Óleo de Argan Capilar 100 ml,"4,60 €",,"46,00 €/l",
REXONA Desodorizante Roll-On Biorythm 50 ml,"4,49 €",,"89,80 €/l",
HANSAPLAST Pensos Rápidos Elásticos 10 un,"2,19 €",,"0,22 €/ud",
VEET Creme Descolorante 2x30 ml,"6,99 €",,"116,50 €/l",
ULTRA SUAVE Condicionador Tesouros de Mel  200 ml,"2,15 €",,"10,75 €/l",
SYOSS Condicionador Keratin 440 ml,"9,99 €",,"22,70 €/l",
SYOSS Champô Keratin 440 ml,"7,20 €",,"16,36 €/l",
DOVE Desodorizante Roll-On Men Extra Fresh 50 ml,"2,81 €",,"56,20 €/l",
DOVE Desodorizante Roll-On Men Clean Confort 50 ml,"2,81 €",,"56,20 €/l",
SCOTTEX Papel Higiénico Original 16 un,"4,49 €",,"0,28 €/ud",
DIA BONTÉ Toalhitas Higiene Corporal Adulto 60 Un,"3,09 €",,"0,05 €/ud",
DIA BONTÉ Toalhitas Desmaquilhantes Peles Maduras 25 un,"1,19 €",,"1,19 €/ud",
ULTRA SUAVE Champô Camomila 400 ml,"5,59 €",,"13,98 €/l",
COLGATE Pasta de Dentes Max White Optic 75 ml,"3,36 €",,"44,80 €/l",
LACTOVIT Gel de Banho Lactourea 650 ml,"5,19 €",,"7,98 €/l",
GLISS Champô Regenerador Intensivo  370 ml,"6,79 €",,"18,35 €/l",
ULTRA SUAVE Máscara Tesouros de Mel 300 ml,"4,75 €",,"15,83 €/l",
SYOSS Coloração Óleo Intense 3-10 Castanho Escuro 1 Un,"11,63 €",,"11,63 €/ud",
SYOSS Coloração Óleo Intense 4-23 Cereja Profundo 1 Un,"11,63 €",,"11,63 €/ud",
AXE Body Spray Black 150 ml,"3,59 €",,"23,93 €/l",
REXONA Desodorizante Roll-On Invisible B+W 50 ml,"4,49 €",,"89,80 €/l",
DIADERMINE Creme Rosto Dia Lift Super Preenchedor 50 ml,"23,99 €",,"479,80 €/l",
AXE Gel Banho Black 400 ml,"3,59 €",,"8,98 €/l",
TAMPAX Tampão Pearl Regular 16 un,"2,99 €","3,99 €","0,19 €/ud","0,25 €/ud"
EVAX Penso Higiénico Cotton Like Noite Alas 18 Un,"4,24 €",,"0,24 €/ud",
TAMPAX Tampão Pearl Super 16 un,"2,99 €","3,99 €","0,19 €/ud","0,25 €/ud"
AXE Body Spray Gold Temptation 150 ml,"3,59 €",,"23,93 €/l",
SYOSS Coloração Óleo Intense 6-80 Louro Avelã  1 un,"11,63 €",,"11,63 €/ud",
DOVE Gel de Banho Coconut Milk & Jasmine 750 ml,"7,99 €",,"10,65 €/l",
DOVE Desodorizante Roll-On Talco 50 ml,"2,81 €",,"56,20 €/l",
REXONA Desodorizante Roll-On Invisible B+W Homem 50 ml,"4,49 €",,"89,80 €/l",
TENA Bed Resguardo Cama 80 x 180 cm (com abas) 20 un,"15,99 €",,"0,80 €/ud",
BIC Lâminas Descartáveis Miss Soleil 3 un,"4,12 €",,"1,37 €/ud",
ORAL-B Recarga Escova de Dentes Cross Action 2 un,"12,74 €",,"6,37 €/ud",
DETTOL Recarga Sabonete Líquido Hidratante Aloé Vera 250 ml,"3,19 €",,"12,76 €/l",
AUSONIA DISCREET Pensos para Perdas de Urina Absorção Nornal 12 Un,"2,24 €",,"0,19 €/ud",
AUSONIA DISCREET Cuecas para Perdas de Urina Tamanho M 9 Un,"7,49 €",,"0,83 €/ud",
AUSONIA DISCREET Cuecas para Perdas de Urina Tamanho G 8 Un,"7,49 €",,"0,94 €/ud",
AUSONIA DISCREET Pensos para Perdas de Urina Absorção Extra 10 Un,"2,24 €",,"0,22 €/ud",
TENA Silhouette Cuecas de Incontinência Mulher Creme (Tamanho M) 9 un,"11,99 €",,"1,33 €/ud",
NIVEA Creme Nutritivo Care 200 ml,"6,48 €",,"32,40 €/l",
DOVE Creme Corpo Boião Goodness 300 ml,"9,99 €",,"33,30 €/l",
DIA BONTÉ Champô Anticaspa Cabelo Oleoso 500 ml,"2,49 €",,"4,98 €/l",
DIA BONTÉ Champô Mel 250 ml,"1,79 €",,"7,16 €/l",
ULTRA SUAVE Champô Delicadeza de Aveia 250 ml,"2,15 €",,"8,60 €/l",
NIVEA Gel de Banho Creme Smooth 750 ml,"6,99 €",,"9,32 €/l",
L'ORÉAL PARIS Creme de Dia Active Antirrugas 55+ 50 ml,"7,69 €","10,99 €","153,80 €/l","219,80 €/l"
L'ORÉAL PARIS Creme de Dia Age Perfect Golden Age  50 ml,"17,99 €",,"359,80 €/l",
COREGA Sem Sabor Creme Fixativo 70 g,"14,39 €",,"205,57 €/Kg",
"DIA BONTÉ Creme Face, Body & Hands Suave 300 ml","2,25 €",,"7,50 €/l",
NIVEA Deo Roll-On Protect & Care 50 ml,"4,62 €",,"92,40 €/l",
SYOSS Champô Ceramide Anti-queda 440 ml,"7,20 €",,"16,36 €/l",
DIA BONTÉ Toalhitas Desodorizantes Pocket 1 Un,"1,09 €",,"1,09 €/ud",
DIA BONTÉ Gel de Limpeza Facial Touhours Belle 250 ml,"4,49 €",,"17,96 €/l",
GARNIER Máscara 3 em 1 Carvão Pure Active Intensive 150 ml,"8,99 €",,"59,93 €/l",
GARNIER Água Micelar em Óleo 400 ml,"5,19 €","7,99 €","12,98 €/l","19,98 €/l"
DIA BONTÉ Óleo Rosa Mosqueta 10 ml,"4,49 €",,"449,00 €/l",
DIA BONTÉ Pensos Para Perdas de Urina Homem 10 Un,"2,35 €",,"0,24 €/ud",
REXONA Desodorizante Spray Invisible B+W 150 ml,"4,49 €",,"29,93 €/l",
AXE Cera de Cabelo Urban 130 ml,"6,49 €",,"49,92 €/l",
DIA BONTÉ Creme Depilatório Men 200 ml,"3,89 €",,"19,45 €/l",
VEET Cera Depilatória à Base de Açúcar Com Óleo de Argão 250 ml,"7,99 €",,"31,96 €/l",
JOHNSON'S Loção Corporal Hidratante Vitarich Uva 400 ml,"5,99 €",,"14,98 €/l",
DIA BONTÉ Pensos Higiénicos Ultra Normal Sem Abas 28 Un,"2,19 €",,"0,08 €/ud",
GARNIER Máscara de Tecido Hidratante 1 Un,"2,99 €",,"2,99 €/ud",
DIA LA LLAMA Lenços De Papel Aroma Mentol 4 Folhas 10 Un,"1,45 €",,"0,15 €/ud",
DIA BONTÉ Protege Slip Normal 60 Un,"1,75 €",,"1,75 €/ud",
DIA BONTÉ Máquinas Descartáveis 3 Lâminas Senhora 4 Un,"3,09 €",,"0,77 €/ud",
GARNIER Máscara Rosto Hydra Bomb 1 un,"2,99 €",,"2,99 €/ud",
ULTRA SUAVE Máscara Delicadeza de Aveia 300 ml,"4,75 €",,"15,83 €/l",
DIADERMINE Creme Dia Expert Rejuvenescedor 50 ml,"23,99 €",,"479,80 €/l",
VEET Bandas de Cera Depilatórias Para Peles Normais 20 Un,"8,99 €",,"0,45 €/ud",
DIA BONTÉ Máscara Capilar Aveia Naturals 300 ml,"3,19 €",,"10,63 €/l",
TENA Discreet Pensos Incontinência Mulher Mini 20 un,"4,25 €",,"0,21 €/ud",
NIVEA MEN Deo Roll-On Cool Kick 50 ml,"2,39 €",,"47,80 €/l",
TRESEMMÉ Champô Liso Keratina 400 ml,"6,99 €",,"17,48 €/l",
TRESEMMÉ Champô Hidratação Intensa 500 ml,"6,99 €",,"13,98 €/l",
VEET Bandas Cera Depilatória Peles Sensíveis 20 un,"8,99 €",,"0,45 €/ud",
GILLETTE VENUS Máquina Descartável Simply 2 3 un,"1,99 €",,"0,66 €/ud",
EVAX Pensos Higiénicos Liberty Normal Alas 12 Un,"2,54 €","2,99 €","0,21 €/ud","0,25 €/ud"
ULTRA SUAVE Creme de Pentear Tesouros de Mel 200 ml,"3,49 €",,"17,45 €/l",
ULTRA SUAVE Condicionador Água de Coco 200 ml,"2,15 €",,"10,75 €/l",
ULTRA SUAVE Condicionador Leite de Côco 200 ml,"2,15 €",,"10,75 €/l",
REXONA Desodorizante Spray Tropical 150 ml,"4,49 €",,"29,93 €/l",
ORAL-B Pasta de Dentes Pro-Expert Proteção Profissional 2x75 ml,"6,89 €",,"45,93 €/l",
TENA Active Fit Cuecas Incontinência Homem (tamanho M) 9 un,"11,99 €",,"1,33 €/ud",
PANTENE Condicionador Caracóis Definidos 3 minutos 200 ml,"5,99 €",,"29,95 €/l",
NATURAL HONEY Gel de Banho Côco 650 ml,"5,49 €",,"8,45 €/l",
SYOSS Condicionador Curls 440 ml,"7,20 €",,"16,36 €/l",
SYOSS Champô Curls 440 ml,"7,20 €",,"16,36 €/l",
GLISS Champô Para Cabelo Long e Sublime 250 ml,"5,14 €",,"20,56 €/l",
ELVIVE Champô Reconstrutor Dream Long  250 ml,"3,99 €",,"15,96 €/l",
NIVEA MEN Deo Roll-On Black & White Active Men  50 ml,"2,69 €",,"53,80 €/l",
ELVIVE Condicionador Dream Long 200 ml,"3,99 €",,"19,95 €/l",
ELVIVE Máscara Dream Long 300 ml,"6,99 €",,"23,30 €/l",
PANTENE Condicionador Caracóis Definidos 200 ml,"3,99 €",,"19,95 €/l",
PANTENE Champô Repara & Protege 250 ml,"3,99 €",,"15,96 €/l",
PANTENE Champô Suave & Sedoso 250 ml,"3,99 €",,"15,96 €/l",
PANTENE Champô Anti-Caspa 250 ml,"3,99 €",,"15,96 €/l",
PANTENE Champô Caracóis Definidos 250 ml,"3,99 €",,"15,96 €/l",
GILLETTE VENUS Lâminas Descartáveis Simply Basic Venus3 3 un,"3,49 €",,"1,16 €/ud",
AUSONIA DISCREET Pants Tamanho G 8 un,"8,99 €",,"1,12 €/ud",
