Nome,Preço,Preço Antigo,PpU,PpU Antigo
PERNA DE PAU Multipack 420 ml,"3,99 €",,"9,50 €/l",
DIA DOCE NO LAR Crepes de Chocolate 540 g,"3,29 €",,"6,09 €/Kg",
CARTE D'OR Gelado de Menta e Chocolate 1 L,"4,49 €",,"4,49 €/l",
DIA DELI SALGADO Rissóis de Pescada 350 g,"1,55 €",,"4,43 €/Kg",
PESCANOVA Miolo Camarão Gigante 15/30 250 g,"10,89 €",,"43,56 €/Kg",
DIA SIMPRATICO Hambúrguer de Frango Sem Glúten 320 g,"2,75 €",,"8,59 €/Kg",
IGLO Nuggets de Frango 10 Un,"2,99 €",,"14,38 €/Kg",
MCCAIN Batatas Mediterrâneas 750 g,"3,15 €",,"4,20 €/Kg",
IGLO Filetes Primavera Com Limão 2 un,"4,99 €",,"22,18 €/Kg",
BRASMAR Migas de Paloco 400 g,"4,25 €",,"10,63 €/Kg",
BONDUELLE Salteado Mediterrâneo 700 g,"4,59 €",,"6,56 €/Kg",
BONDUELLE Salteado da Horta 400 g,"2,94 €",,"7,35 €/Kg",
IGLO Esparregado 750 g,"2,59 €",,"3,45 €/Kg",
IGLO Crocantes de Frango Recheado com Alho & Ervas 2 un,"3,49 €",,"17,11 €/Kg",
IGLO Crocantes Frango Recheado Com Queijo & Fiambre 2 un,"3,49 €",,"17,11 €/Kg",
DIA PRA JÁ! Bacalhau Com Natas 380 g,"2,59 €",,"6,82 €/Kg",
DIA DELI SALGADO Rissóis de Carne 8 un,"1,69 €",,"4,83 €/Kg",
RIBERALVES Posta Bacalhau 800 g,"6,79 €",,"8,49 €/Kg",
RIBERALVES Bacalhau Desfiado 400 g,"5,19 €",,"12,98 €/Kg",
BRASMAR Posta de Maruca (1 un = 250 g aprox),"2,75 €",,"10,99 €/Kg",
BONDUELLE Salteado Rústico 400 g,"2,94 €",,"7,35 €/Kg",
PESCANOVA Lombos De Salmão 250 g,"6,15 €",,"24,60 €/Kg",
