Nome,Preço,Preço Antigo,PpU,PpU Antigo
VAQUEIRO Margarina Líquida 500 ml,"2,96 €",,"5,92 €/l",
LAGOS Requeijão de Ovelha 150 g,"1,09 €",,"7,27 €/Kg",
PRÉSIDENT Queijo Brie 200 g,"3,79 €",,"18,95 €/Kg",
DIA LÁCTEA Iogurte Líquido Morango E Banana 160 g,"0,36 €",,"0,36 €/ud",
ACTIVIA Iogurte Magro Frutos Silvestres 4x155 g,"1,99 €",,"3,21 €/Kg",
VIGOR Leite Pasteurizado Magro 1 L,"0,99 €",,"0,99 €/l",
VIGOR Leite Pasteurizado Meio Gordo 1 L,"0,99 €",,"0,99 €/l",
DIA Iogurte Líquido Magro Aroma Morango 160 g,"0,40 €",,"0,40 €/ud",
OIKOS Iogurte Grego Stracciatella 4x110 g,"2,09 €",,"4,75 €/Kg",
A VACA QUE RI Queijo Fundido Palitos 35 g,"0,69 €",,"19,71 €/Kg",
TERRA NOSTRA Manteiga 250 g,"2,35 €",,"9,40 €/Kg",
ACTIVIA Iogurte Bifidus Líquido Morango 4x155 g,"1,99 €",,"3,21 €/Kg",
PHILADELPHIA Queijo Fresco Barrar Regular 150 g,"1,99 €",,"13,27 €/Kg",
PHILADELPHIA Queijo Fresco Barrar Light 150 g,"1,99 €",,"13,27 €/Kg",
FLORA Margarina 225 g,"1,99 €",,"8,84 €/Kg",
DANONINO Petitdino Morango 6x50 g,"2,39 €",,"7,97 €/Kg",
DANONINO Petitdino Morango/Banana 6x50 g,"2,39 €",,"7,97 €/Kg",
CORPOS DANONE Iogurte Líquido Magro Morango/Framboesa 4x155 g,"3,39 €",,"5,47 €/Kg",
PLANTA Creme Para Barrar Com Sabor a Manteiga 400 g,"3,49 €",,"8,73 €/Kg",
MIMOSA Leite Meio Gordo Sem Lactose 1 L,"1,09 €",,"1,09 €/l",
CORPOS DANONE Iogurte Líquido Magro de Pinacolada 4x155 g,"3,39 €",,"5,47 €/Kg",
UCAL Galão 3x200 ml,"2,29 €",,"3,82 €/l",
DIA SONHOS Gelatina de Morango 6x100 g,"1,39 €",,"2,32 €/Kg",
GRESSO Leite Com Chocolate 200 ml,"0,33 €",,"1,65 €/l",
MIMOSA Leite Magro Sem Lactose 1 L,"1,09 €",,"1,09 €/l",
CAMPAINHA Queijo Ralado Mozzarella 150 g,"1,99 €",,"13,27 €/Kg",
ACTIVIA Iogurte Sólido Frutos Secos E Cereais 4x120 g,"2,09 €",,"4,35 €/Kg",
OIKOS Iogurte Grego Natural Açucarado 4x110 g,"2,09 €",,"4,75 €/Kg",
O PRÉMIO DO DIA Sobremesa Serradura 2x85 g,"1,99 €",,"11,71 €/Kg",
OIKOS Iogurte Grego Caramelo 4x110 g,"2,09 €",,"4,75 €/Kg",
OIKOS Iogurte Grego Manga Papaia 4x110 g,"2,09 €",,"4,75 €/Kg",
ACTIVIA Iogurte Sólido Aveia E Nozes 4x115 g,"2,79 €",,"6,07 €/Kg",
DIA SELEÇÃO MUNDIAL Queijo Brie 200 g,"1,59 €",,"7,95 €/Kg",
MATINAL Leite Magro 1 L,"0,98 €",,"0,98 €/l",
DIA SR. BEM BOM Salame de Chocolate 450 g,"3,19 €",,"7,09 €/Kg",
DIA Ovos Classe M 6 Un,"1,35 €",,"1,35 €/ud",
DIA Manteiga Dos Açores 250 g,"2,09 €",,"8,36 €/Kg",
DIA Ovos Galinha Campo 6 Un,"1,39 €",,"1,39 €/ud",
DIA Flan de Baunilha 6x100 g,"1,15 €",,"1,92 €/Kg",
TERRA NOSTRA Queijo Flamengo Bola 1/4 350 g,"3,36 €","3,95 €","9,60 €/Kg","11,29 €/Kg"
PARMALAT Natas Culinária Com Cogumelos 200 ml,"1,27 €",,"6,35 €/l",
DIA O CHOCALHO Queijo Mistura Amanteigado 1 Un,"4,89 €",,"4,89 €/ud",
MIMOSA Natas UHT Para Culinária 200 ml,"0,89 €",,"4,45 €/l",
DANONE Iogurte Líquido Morango 4x155 g,"2,59 €",,"4,18 €/Kg",
DANONE Iogurte Líquido Morango/Banana 4x155 g,"2,59 €",,"4,18 €/Kg",
DIA LÁCTEA Queijo Fresco Normal 4x62 g,"2,05 €",,"8,20 €/Kg",
MIMOSA Leite Com Chocolate Bem Essencial 200 ml,"0,50 €",,"2,50 €/l",
OIKOS Iogurte Grego Morango 4x110 g,"2,09 €",,"4,75 €/Kg",
OIKOS Iogurte Grego Natural 4x110 g,"2,09 €",,"4,75 €/Kg",
DIA VITAL Bebida de Soja Natural 3x200 ml,"1,02 €",,"1,70 €/l",
DANONE Iogurte Natural 4x120 g,"0,96 €","1,48 €","2,00 €/Kg","3,08 €/Kg"
CASTELÕES Queijo em Fatias 200 g,"1,99 €",,"9,95 €/Kg",
DIA VITAL Bebida de Soja Light 1 L,"1,12 €",,"1,12 €/l",
DIA LÁCTEA Leite Meio Gordo Sem Lactose 1 L,"1,02 €",,"1,02 €/l",
KITKAT Iogurtes Bicompartimentados Nestlé 2x115 g,"1,85 €",,"8,04 €/Kg",
SMARTIES Iogurtes Bicompartimentados Nestlé 2x130 g,"1,85 €",,"7,12 €/Kg",
DIA FIDIAS Iogurte Grego Natural Açúcarado 4x125 g,"1,55 €",,"3,10 €/Kg",
CAMPAINHA Queijo Cabra Fresco 130 g,"1,49 €",,"11,46 €/Kg",
CORPOS DANONE Iogurte Líquido Magro de Kiwi E Morango 4x155 g,"3,39 €",,"5,47 €/Kg",
ACTIVIA Iogurte Líquido Cereais 4x155 g,"1,99 €",,"3,21 €/Kg",
DIA VITAL Bebida de Soja de Chocolate 3x200 ml,"1,33 €",,"2,22 €/l",
ACTIVIA Iogurte Cremoso Coco 4x120 g,"1,89 €",,"3,94 €/Kg",
TERRA NOSTRA Leite UHT Pastagem Magro 1 L,"1,04 €",,"1,04 €/l",
TERRA NOSTRA Leite UHT Pastagem Meio Gordo 1 L,"1,04 €",,"1,04 €/l",
SHOYCE Creme Culinário 200 ml,"1,11 €",,"5,55 €/l",
NIDO Leite Em Pó Gordo Nestlé 680 g,"8,99 €",,"13,22 €/Kg",
LAGOS Queijo Em Fatias de Cabra Curado 125 g,"2,39 €",,"19,12 €/Kg",
PRIMOR Manteiga Sem Lactose Magra 125 g,"1,99 €",,"15,92 €/Kg",
UCAL Leite C/Chocolate Go! 3x250 ml,"2,94 €",,"3,92 €/l",
